Hour,Min,Max freq,Max,RMS,std,Condition,Runtime
3,15,50,69,2,2,R,131
3,16,50,73,2,2,R,132
3,17,50,69,2,2,R,133
3,18,50,70,2,2,R,134
3,19,50,70,2,2,R,135
3,20,50,69,2,2,R,136
3,21,63,4,1,1,S,136
3,22,303,4,1,1,S,136
3,23,8,4,1,1,S,136
3,24,297,3,1,1,S,136
3,25,1878,4,1,1,S,136
3,26,50,69,2,2,R,137
3,27,50,69,2,2,R,138
3,28,50,69,2,2,R,139
3,29,50,70,2,2,R,140
3,30,50,67,2,2,R,141
3,30,50,69,2,2,R,141
3,31,50,71,2,2,R,142
3,32,50,67,2,2,R,143
3,33,50,72,2,2,R,144
3,34,50,70,2,2,R,145
3,35,50,69,2,2,R,146
3,36,50,69,2,2,R,147
3,37,50,68,2,2,R,148
3,38,50,71,2,2,R,149
3,39,50,71,2,2,R,150
3,40,50,70,2,2,R,151
3,40,50,72,2,2,R,151
3,41,50,71,2,2,R,152
3,42,50,69,2,2,R,153
3,43,50,70,2,2,R,154
3,44,50,67,2,2,R,155
3,45,50,69,2,2,R,156
3,46,50,70,2,2,R,157
3,47,50,70,2,2,R,158
3,48,50,66,2,2,R,159
3,49,50,72,2,2,R,160
3,50,50,70,2,2,R,161
3,51,42,58,2,2,L,161
3,52,34,70,2,2,L,161
3,53,17,74,2,2,L,161
3,54,8,72,2,2,L,161
3,55,48,4,1,1,S,161
3,56,731,4,1,1,S,161
3,57,27,4,1,1,S,161
3,58,40,3,1,1,S,161
3,59,445,4,1,1,S,161
4,0,30,3,1,1,S,161
