Rotating Speed S.P (RPM),1.50000E+3
Mean Extension (mm),-2.50730E-3
Sampling Rate (Hz),5.00000E+3
Time (secs),Extension (mm),Vibration 1 (g),Vibration 2 (g),Vibration 3 (g),Tachometer (V)
0.01600000,-0.00226423,-0.07812500,0.16601562,0.01464844,1.50634766
0.01620000,-0.00226423,-0.14648437,-0.60058594,-0.28808594,1.54296875
0.01640000,-0.00226423,-0.04394531,-0.33203125,-0.00488281,1.47705078
0.01660000,-0.00226423,0.02441406,0.13671875,0.02929687,1.40625000
0.01680000,-0.00226423,-0.09277344,0.18066406,-0.58105469,1.37207031
0.01700000,-0.00226423,-0.03417969,0.56640625,-0.61523437,1.37207031
0.01720000,-0.00226423,0.04882812,-0.13671875,-0.18066406,1.36962891
0.01740000,-0.00226423,0.00000000,-0.04882812,0.21972656,1.34765625
0.01760000,-0.00226423,-0.06347656,-0.22949219,0.48828125,1.37207031
0.01780000,-0.00226423,-0.00488281,-0.21972656,0.00976562,1.37939453
0.01800000,-0.00226423,-0.02441406,0.00976562,0.40039062,1.37207031
0.01820000,-0.00226423,0.00000000,-0.50292969,1.06933594,1.38916016
0.01840000,-0.00226423,0.01953125,-0.13183594,0.41015625,1.36474609
0.01860000,-0.00226423,0.00488281,0.11230469,0.40527344,1.37939453
0.01880000,-0.00226423,-0.00488281,-0.18066406,0.26367187,1.37207031
0.01900000,-0.00226423,0.07812500,-0.35156250,0.19531250,1.38671875
0.01920000,-0.00226423,0.03417969,-0.24414062,0.78613281,1.51123047
0.01940000,-0.00226423,0.02441406,-0.24414062,0.57617187,1.54541016
0.01960000,-0.00226423,0.00976562,0.12207031,0.82519531,1.24511719
0.01980000,-0.00470564,0.11230469,-0.22949219,0.10253906,0.79589844
0.02000000,-0.00226423,-0.02929687,-0.02929687,0.64941406,0.48583984
0.02020000,0.00017718,0.07324219,-0.30273437,0.94238281,0.30517578
0.02040000,0.00017718,0.08789062,0.38085937,0.65429687,0.19775391
0.02060000,-0.00226423,0.05859375,-0.11230469,-0.33203125,0.13916016
0.02080000,-0.00226423,0.04394531,0.62988281,0.07812500,0.11230469
0.02100000,-0.00470564,0.15136719,0.30273437,0.00488281,0.09521484
0.02120000,-0.00226423,0.01953125,0.36132812,-0.03906250,0.08300781
0.02140000,-0.00226423,0.02929687,0.55664062,-0.31738281,0.07568359
0.02160000,-0.00470564,0.00488281,-0.26367187,-0.19531250,0.07080078
0.02180000,-0.00226423,-0.01953125,0.03417969,-0.86914062,0.06591797
0.02200000,-0.00226423,-0.08789062,-0.24902344,-0.49804687,0.06347656
0.02220000,-0.00226423,0.07812500,-0.24902344,0.07812500,0.06347656
0.02240000,-0.00226423,-0.06347656,-0.19531250,-0.42968750,0.06103516
0.02260000,-0.00226423,-0.05859375,-0.87890625,0.13183594,0.06347656
0.02280000,-0.00226423,-0.01464844,-0.88867187,0.38085937,0.06103516
0.02300000,-0.00470564,0.01953125,-0.48339844,0.30761719,0.06103516
0.02320000,-0.00226423,-0.06835937,-0.32714844,0.51269531,0.06103516
0.02340000,-0.00226423,-0.00976562,0.24414062,0.77148437,0.06103516
0.02360000,0.00017718,0.00488281,-0.31250000,-0.02441406,0.05859375
0.02380000,-0.00226423,0.02441406,0.47851562,0.81054687,0.06103516
0.02400000,0.00017718,-0.06835937,-1.03027344,0.67382812,0.06103516
0.02420000,-0.00226423,0.09277344,0.32226562,0.43945312,0.06103516
0.02440000,-0.00226423,0.05859375,0.46386719,0.37109375,0.05859375
0.02460000,0.00017718,-0.03417969,0.41992187,-0.06835937,0.05859375
0.02480000,-0.00226423,0.06347656,0.45410156,-0.19042969,0.06347656
0.02500000,0.00017718,0.09277344,0.12207031,0.39062500,0.05859375
0.02520000,-0.00226423,-0.04394531,0.07324219,0.24414062,0.05859375
0.02540000,-0.00226423,-0.00488281,-0.39550781,0.92773437,0.06103516
0.02560000,-0.00470564,0.04882812,-0.33691406,0.89355469,0.06103516
0.02580000,-0.00226423,-0.03417969,-0.62988281,0.94238281,0.06347656
0.02600000,-0.00226423,0.00976562,0.33691406,0.96191406,0.06591797
0.02620000,-0.00226423,0.05371094,0.55664062,0.52734375,0.06835937
0.02640000,0.00017718,0.03906250,0.91308594,-0.16113281,0.06591797
0.02660000,-0.00226423,0.03906250,0.40527344,0.19531250,0.06835937
0.02680000,-0.00226423,0.04394531,0.09277344,0.12207031,0.07080078
0.02700000,-0.00470564,0.07812500,-0.15625000,-0.11230469,0.07080078
0.02720000,-0.00226423,-0.02441406,-0.35644531,0.44921875,0.07324219
0.02740000,-0.00226423,0.04394531,-0.53222656,-0.00488281,0.07080078
0.02760000,-0.00226423,-0.00976562,0.23925781,0.03417969,0.07324219
0.02780000,0.00017718,-0.00976562,-0.19042969,0.20996094,0.07080078
0.02800000,0.00017718,0.00976562,0.03906250,-0.47363281,0.07080078
0.02820000,-0.00470564,-0.02441406,0.02929687,-0.38085937,0.07080078
0.02840000,-0.00226423,-0.05371094,-0.37109375,-0.46875000,0.07080078
0.02860000,-0.00226423,0.03417969,-0.49804687,-0.57617187,0.06835937
0.02880000,-0.00226423,-0.00488281,-0.79589844,-0.38085937,0.06835937
0.02900000,-0.00226423,-0.03906250,-0.24414062,-0.26855469,0.06835937
0.02920000,0.00261858,-0.08300781,-0.36132812,-0.57617187,0.06591797
0.02940000,-0.00226423,-0.00488281,0.13671875,-0.21972656,0.06835937
0.02960000,-0.00226423,-0.07324219,0.16113281,-0.01953125,0.06591797
0.02980000,-0.00226423,-0.03906250,-0.06835937,0.13183594,0.06591797
0.03000000,-0.00226423,-0.09765625,-0.02929687,0.13671875,0.06591797
0.03020000,-0.00226423,-0.02929687,0.27832031,-0.36621094,0.06347656
0.03040000,-0.00226423,-0.00488281,0.22949219,0.24414062,0.06347656
0.03060000,-0.00470564,-0.02929687,0.30273437,0.09765625,0.06103516
0.03080000,-0.00226423,-0.02929687,0.32226562,-0.28808594,0.06103516
0.03100000,0.00750140,-0.02929687,0.18554687,0.40039062,0.06103516
0.03120000,-0.00226423,-0.00976562,0.19531250,0.22949219,0.06835937
0.03140000,-0.00226423,-0.02441406,-0.02441406,0.64453125,0.05859375
0.03160000,-0.00714704,-0.05371094,-0.43457031,0.99609375,0.05859375
0.03180000,-0.00470564,-0.06347656,-0.18066406,0.56640625,0.05859375
0.03200000,-0.00226423,-0.02441406,0.05371094,0.52246094,0.05615234
0.03220000,-0.00470564,-0.00976562,-0.05371094,0.67382812,0.05859375
0.03240000,-0.00226423,0.00976562,0.41503906,0.44433594,0.05615234
0.03260000,-0.00470564,0.00488281,-0.15136719,0.33203125,0.05615234
0.03280000,-0.00226423,0.04394531,-0.07812500,0.36132812,0.05371094
0.03300000,-0.00226423,-0.00488281,0.25390625,-0.12695312,0.05371094
0.03320000,-0.00470564,0.04394531,0.36621094,0.45410156,0.05859375
0.03340000,-0.00226423,0.04394531,0.15136719,0.52246094,0.05859375
0.03360000,0.00017718,-0.00488281,0.05371094,0.29296875,0.05859375
0.03380000,0.00017718,-0.04394531,-0.09765625,0.54687500,0.06103516
0.03400000,-0.00226423,0.02929687,-0.14160156,0.38574219,0.05859375
0.03420000,-0.00226423,0.00976562,0.48339844,0.20996094,0.05859375
0.03440000,-0.00226423,0.00976562,-0.18554687,0.17089844,0.05859375
0.03460000,-0.00226423,-0.00488281,0.53222656,-0.30761719,0.05859375
0.03480000,-0.00226423,0.00488281,0.40527344,-0.31738281,0.05859375
0.03500000,-0.00470564,0.00000000,0.33203125,-0.03417969,0.05859375
0.03520000,-0.00226423,0.01464844,0.13671875,-0.25390625,0.05615234
0.03540000,-0.00470564,-0.05859375,-0.20019531,0.04394531,0.05615234
0.03560000,-0.00226423,-0.05859375,-0.16601562,-0.21972656,0.05615234
0.03580000,-0.00226423,-0.03417969,-0.07324219,0.20019531,0.05615234
0.03600000,-0.00470564,-0.03417969,0.22460937,-0.11230469,0.05615234
0.03620000,-0.00470564,-0.05371094,0.21484375,-0.21972656,0.05615234
0.03640000,-0.00226423,0.00976562,-0.03906250,-0.23925781,0.05859375
0.03660000,-0.00226423,-0.03906250,0.12207031,-0.12207031,0.05859375
0.03680000,-0.00470564,0.03417969,-0.05859375,-0.76660156,0.05615234
0.03700000,-0.00470564,-0.04882812,0.26367187,0.00000000,0.06103516
0.03720000,-0.00226423,0.01953125,-0.77148437,-0.21972656,0.05859375
0.03740000,-0.00226423,0.01953125,0.27343750,0.00976562,0.05859375
0.03760000,-0.00226423,-0.10253906,-0.40527344,0.10742187,0.05859375
0.03780000,-0.00470564,-0.02441406,0.00488281,0.38574219,0.06103516
0.03800000,0.00017718,0.01953125,-0.14648437,0.30273437,0.05859375
0.03820000,-0.00226423,-0.00976562,-0.19042969,0.01464844,0.06103516
0.03840000,-0.00226423,0.00976562,-0.12695312,0.00000000,0.05859375
0.03860000,-0.00470564,0.01953125,-0.09765625,0.02929687,0.05859375
0.03880000,-0.00226423,0.00976562,-0.08300781,-0.00488281,0.05859375
0.03900000,-0.00226423,0.04882812,-0.41015625,0.25878906,0.05859375
0.03920000,-0.00226423,0.06347656,-0.42480469,0.06835937,0.05859375
0.03940000,-0.00226423,0.01953125,-0.58593750,0.20507812,0.06103516
0.03960000,-0.00226423,-0.00976562,-0.22949219,0.45898437,0.06347656
0.03980000,0.00017718,0.04882812,0.06347656,0.50292969,0.06103516
0.04000000,-0.00226423,0.02929687,-0.01464844,0.76660156,0.06103516
0.04020000,-0.00470564,0.01953125,0.01464844,0.59570312,0.06103516
0.04040000,-0.00226423,0.05371094,0.16113281,0.46386719,0.06103516
0.04060000,-0.00470564,0.01464844,0.09765625,0.33203125,0.06103516
0.04080000,0.00017718,0.00976562,0.21484375,0.36621094,0.06103516
0.04100000,-0.00226423,0.04882812,-0.03906250,0.54687500,0.06103516
0.04120000,-0.00226423,0.05859375,-0.41015625,0.22949219,0.06103516
0.04140000,-0.00226423,0.00000000,-0.01953125,0.69335937,0.06103516
0.04160000,-0.00226423,0.00488281,-0.12207031,0.77636719,0.06347656
0.04180000,-0.00226423,0.01953125,0.06835937,0.82031250,0.06347656
0.04200000,-0.00226423,-0.02441406,0.05859375,0.44921875,0.06591797
0.04220000,-0.00226423,0.03906250,-0.18554687,0.46875000,0.06347656
0.04240000,-0.00470564,-0.01953125,0.18066406,-0.25878906,0.06347656
0.04260000,0.00017718,0.07812500,0.02441406,-0.24414062,0.06347656
0.04280000,-0.00226423,0.03417969,0.04882812,-0.92773437,0.06347656
0.04300000,-0.00226423,0.03417969,0.20996094,-0.94238281,0.06347656
0.04320000,-0.00470564,0.03417969,0.40527344,-2.35351562,0.06103516
0.04340000,-0.00226423,0.06835937,0.65429687,-1.00097656,0.06347656
0.04360000,-0.00470564,0.08300781,-2.12890625,-0.45410156,0.06591797
0.04380000,-0.00226423,-0.17089844,1.76269531,0.00488281,0.06591797
0.04400000,-0.00470564,-0.31250000,-0.47363281,1.16699219,0.06835937
0.04420000,-0.00470564,0.66406250,-0.87402344,0.41015625,0.06347656
0.04440000,-0.00470564,-0.16601562,-1.74316406,-0.16113281,0.06347656
0.04460000,-0.00226423,-0.25390625,-3.83300781,1.91894531,0.07324219
0.04480000,0.00017718,-0.23437500,1.76269531,2.79785156,0.07324219
0.04500000,-0.00470564,0.19531250,0.64941406,1.36230469,0.06835937
0.04520000,-0.00226423,0.64941406,2.30957031,-0.38085937,0.06347656
0.04540000,-0.00226423,-0.50781250,-0.62011719,-1.56250000,0.05615234
0.04560000,-0.00226423,-0.11718750,-3.30078125,0.97167969,0.07080078
0.04580000,0.00017718,0.38574219,1.90917969,2.16796875,0.06347656
0.04600000,0.00017718,0.11230469,0.32714844,1.61132812,0.06347656
0.04620000,-0.00226423,0.07812500,1.34277344,-1.49414062,0.05859375
0.04640000,-0.00226423,-0.25390625,1.57714844,-0.94726562,0.06103516
0.04660000,-0.00226423,-0.06835937,-1.24511719,1.36230469,0.06835937
0.04680000,0.00017718,0.33203125,-0.18554687,1.94335937,0.07080078
0.04700000,0.00017718,-0.13671875,-2.79296875,-0.28808594,0.06835937
0.04720000,0.00261858,-0.08300781,0.70800781,-0.29785156,0.07324219
0.04740000,-0.00226423,-0.05371094,1.64062500,1.36718750,0.07568359
0.04760000,-0.00226423,0.13183594,-0.51269531,-1.21093750,0.07080078
0.04780000,-0.00226423,0.28320312,0.49804687,-2.19726562,0.06835937
0.04800000,-0.00226423,-0.28808594,0.36621094,0.46386719,0.07324219
0.04820000,-0.00226423,0.02929687,0.84472656,1.53808594,0.07812500
0.04840000,-0.00226423,0.27832031,0.06347656,-0.76171875,0.07080078
0.04860000,-0.00226423,-0.08300781,-1.89941406,-0.81542969,0.07080078
0.04880000,-0.00226423,-0.06347656,-0.71289062,-0.62011719,0.06835937
0.04900000,-0.00226423,-0.10253906,0.23437500,1.45507812,0.07080078
0.04920000,-0.00226423,0.15136719,0.38574219,-0.86425781,0.06591797
0.04940000,-0.00470564,0.02441406,0.61035156,-2.37304687,0.06103516
0.04960000,-0.00226423,-0.11230469,-0.75195312,-0.24902344,0.06347656
0.04980000,-0.00226423,0.01953125,-0.51757812,-0.26367187,0.06591797
0.05000000,-0.00226423,-0.03417969,0.09277344,0.75195312,0.06835937
0.05020000,-0.00470564,-0.04882812,-0.02441406,-1.22070312,0.06347656
0.05040000,-0.00470564,-0.11230469,0.10253906,-1.22558594,0.06347656
0.05060000,-0.00226423,-0.08789062,-0.64453125,1.37695312,0.06835937
0.05080000,-0.00226423,0.02929687,-0.08300781,0.64453125,0.06591797
0.05100000,-0.00226423,-0.20996094,1.18652344,0.26855469,0.06347656
0.05120000,-0.00226423,-0.10742187,0.05859375,-0.54199219,0.05859375
0.05140000,-0.00226423,0.08300781,0.02441406,-0.57617187,0.05859375
0.05160000,-0.00226423,0.09765625,0.23437500,1.34765625,0.06347656
0.05180000,-0.00226423,-0.14160156,0.37109375,0.98144531,0.06103516
0.05200000,-0.00226423,-0.13183594,1.35742187,-0.44921875,0.05859375
0.05220000,-0.00226423,0.18066406,1.03027344,0.26855469,0.06103516
